"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","29.02.2024 20:30","0.05 m","142 m³/h","","29.02.2024 20:32"
"Muuli tee","29.02.2024 20:25","0.05 m","150.52 m³/h","","29.02.2024 20:27"
"Muuli tee","29.02.2024 20:20","0.05 m","149.15 m³/h","","29.02.2024 20:22"
"Muuli tee","29.02.2024 20:15","0.05 m","134.86 m³/h","","29.02.2024 20:17"
"Muuli tee","29.02.2024 20:10","0.05 m","149.29 m³/h","","29.02.2024 20:12"
"Muuli tee","29.02.2024 20:05","0.05 m","149.29 m³/h","","29.02.2024 20:07"
"Muuli tee","29.02.2024 20:00","0.05 m","155.19 m³/h","","29.02.2024 20:02"
"Muuli tee","29.02.2024 19:55","0.05 m","148.19 m³/h","","29.02.2024 19:57"
"Muuli tee","29.02.2024 19:50","0.06 m","157.8 m³/h","","29.02.2024 19:52"
"Muuli tee","29.02.2024 19:45","0.06 m","148.19 m³/h","","29.02.2024 19:47"
"Muuli tee","29.02.2024 19:40","0.06 m","151.76 m³/h","","29.02.2024 19:42"
"Muuli tee","29.02.2024 19:35","0.05 m","151.62 m³/h","","29.02.2024 19:37"
"Muuli tee","29.02.2024 19:30","0.06 m","152.86 m³/h","","29.02.2024 19:32"
"Muuli tee","29.02.2024 19:25","0.05 m","143.38 m³/h","","29.02.2024 19:27"
"Muuli tee","29.02.2024 19:20","0.06 m","162.34 m³/h","","29.02.2024 19:22"
"Muuli tee","29.02.2024 19:15","0.05 m","157.53 m³/h","","29.02.2024 19:22"
"Muuli tee","29.02.2024 19:10","0.06 m","153 m³/h","","29.02.2024 19:12"
"Muuli tee","29.02.2024 19:05","0.06 m","169.48 m³/h","","29.02.2024 19:07"
"Muuli tee","29.02.2024 19:00","0.05 m","155.33 m³/h","","29.02.2024 19:02"
"Muuli tee","29.02.2024 18:55","0.05 m","148.19 m³/h","","29.02.2024 18:57"
"Muuli tee","29.02.2024 18:50","0.06 m","157.67 m³/h","","29.02.2024 18:52"
"Muuli tee","29.02.2024 18:45","0.05 m","154.23 m³/h","","29.02.2024 18:47"
"Muuli tee","29.02.2024 18:40","0.06 m","161.24 m³/h","","29.02.2024 18:42"
"Muuli tee","29.02.2024 18:35","0.06 m","167.29 m³/h","","29.02.2024 18:37"
"Muuli tee","29.02.2024 18:30","0.06 m","157.53 m³/h","","29.02.2024 18:32"
"Muuli tee","29.02.2024 18:25","0.06 m","146.95 m³/h","","29.02.2024 18:27"
"Muuli tee","29.02.2024 18:20","0.06 m","160 m³/h","","29.02.2024 18:22"
"Muuli tee","29.02.2024 18:15","0.06 m","164.81 m³/h","","29.02.2024 18:17"
"Muuli tee","29.02.2024 18:10","0.06 m","162.48 m³/h","","29.02.2024 18:12"
"Muuli tee","29.02.2024 18:05","0.06 m","155.19 m³/h","","29.02.2024 18:07"
"Muuli tee","29.02.2024 18:00","0.06 m","156.16 m³/h","","29.02.2024 18:02"
