"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","31.05.2024 18:25","0.03 m","44.31 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 18:20","0.03 m","45.69 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 18:15","0.03 m","44.17 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 18:10","0.03 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 18:05","0.03 m","43.08 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 18:00","0.02 m","43.08 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 17:55","0.02 m","40.6 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 17:50","0.02 m","41.56 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 17:45","0.02 m","41.98 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 17:40","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 17:35","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 17:30","0.02 m","41.98 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 17:25","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 17:20","0.02 m","40.33 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 17:15","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 17:10","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 17:05","0.02 m","39.09 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 17:00","0.02 m","36.48 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 16:55","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 16:50","0.02 m","35.38 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 16:45","0.02 m","33.87 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 16:40","0.02 m","35.11 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 16:35","0.02 m","34.01 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 16:30","0.02 m","36.48 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 16:25","0.02 m","34.83 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 16:20","0.02 m","35.24 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 16:15","0.02 m","36.48 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 16:10","0.02 m","39.09 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 16:05","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 16:00","0.02 m","36.48 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 15:55","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 15:50","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 15:45","0.02 m","36.48 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 15:40","0.02 m","35.38 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 15:35","0.02 m","36.48 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 15:30","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 15:25","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 15:20","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 15:15","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 15:10","0.02 m","35.24 m³/h","","01.07.2024 16:56"
