"Seade","Mõõtmise aeg","elektrijuhtivus","hägusus","hapnik","pH","Laekumise aeg"
"Muuli VKM","16.02.2024 22:55","794 μS/cm","681.73 NTU","10.1 mg/L","7.33","16.02.2024 22:57"
"Muuli VKM","16.02.2024 22:50","794 μS/cm","683.08 NTU","10.09 mg/L","7.33","16.02.2024 22:52"
"Muuli VKM","16.02.2024 22:45","795 μS/cm","684.46 NTU","10.13 mg/L","7.33","16.02.2024 22:47"
"Muuli VKM","16.02.2024 22:40","795 μS/cm","685.75 NTU","10.12 mg/L","7.34","16.02.2024 22:42"
"Muuli VKM","16.02.2024 22:35","796 μS/cm","687.15 NTU","10.11 mg/L","7.34","16.02.2024 22:37"
"Muuli VKM","16.02.2024 22:30","796 μS/cm","688.69 NTU","10.13 mg/L","7.34","16.02.2024 22:32"
"Muuli VKM","16.02.2024 22:25","797 μS/cm","690.66 NTU","10.1 mg/L","7.34","16.02.2024 22:27"
"Muuli VKM","16.02.2024 22:20","798 μS/cm","693.27 NTU","10.12 mg/L","7.35","16.02.2024 22:22"
"Muuli VKM","16.02.2024 22:15","798 μS/cm","696.12 NTU","10.12 mg/L","7.35","16.02.2024 22:17"
"Muuli VKM","16.02.2024 22:10","799 μS/cm","701.17 NTU","10.12 mg/L","7.35","16.02.2024 22:12"
"Muuli VKM","16.02.2024 22:05","799 μS/cm","707.52 NTU","10.1 mg/L","7.36","16.02.2024 22:07"
"Muuli VKM","16.02.2024 22:00","800 μS/cm","747.23 NTU","10.11 mg/L","7.36","16.02.2024 22:02"
"Muuli VKM","16.02.2024 21:55","807 μS/cm","760.25 NTU","10.12 mg/L","7.36","16.02.2024 21:57"
"Muuli VKM","16.02.2024 21:50","821 μS/cm","767.86 NTU","10.1 mg/L","7.37","16.02.2024 21:52"
"Muuli VKM","16.02.2024 21:45","842 μS/cm","777.16 NTU","10.09 mg/L","7.37","16.02.2024 21:47"
"Muuli VKM","16.02.2024 21:40","863 μS/cm","788.57 NTU","10.09 mg/L","7.37","16.02.2024 21:42"
"Muuli VKM","16.02.2024 21:35","885 μS/cm","803.17 NTU","10.08 mg/L","7.38","16.02.2024 21:37"
"Muuli VKM","16.02.2024 21:30","906 μS/cm","822.1 NTU","10.05 mg/L","7.38","16.02.2024 21:32"
"Muuli VKM","16.02.2024 21:25","928 μS/cm","849.33 NTU","10.04 mg/L","7.38","16.02.2024 21:27"
"Muuli VKM","16.02.2024 21:20","951 μS/cm","886.33 NTU","10.03 mg/L","7.39","16.02.2024 21:22"
"Muuli VKM","16.02.2024 21:15","974 μS/cm","953.61 NTU","10.01 mg/L","7.4","16.02.2024 21:17"
"Muuli VKM","16.02.2024 21:10","996 μS/cm","820.18 NTU","10 mg/L","7.42","16.02.2024 21:12"
"Muuli VKM","16.02.2024 21:05","1013 μS/cm","1251.25 NTU","9.99 mg/L","7.42","16.02.2024 21:07"
"Muuli VKM","16.02.2024 21:00","1013 μS/cm","1085.51 NTU","9.89 mg/L","7.4","16.02.2024 21:02"
"Muuli VKM","16.02.2024 20:55","1016 μS/cm","1085.53 NTU","9.91 mg/L","7.41","16.02.2024 20:57"
"Muuli VKM","16.02.2024 20:50","1019 μS/cm","1084.78 NTU","9.9 mg/L","7.41","16.02.2024 20:52"
"Muuli VKM","16.02.2024 20:45","1022 μS/cm","1083.08 NTU","9.9 mg/L","7.41","16.02.2024 20:47"
"Muuli VKM","16.02.2024 20:40","1025 μS/cm","1081.11 NTU","9.93 mg/L","7.42","16.02.2024 20:42"
"Muuli VKM","16.02.2024 20:35","1029 μS/cm","1082.59 NTU","9.92 mg/L","7.42","16.02.2024 20:37"
"Muuli VKM","16.02.2024 20:30","1032 μS/cm","1083.72 NTU","9.91 mg/L","7.42","16.02.2024 20:32"
"Muuli VKM","16.02.2024 20:25","1034 μS/cm","1084.29 NTU","9.92 mg/L","7.43","16.02.2024 20:27"
"Muuli VKM","16.02.2024 20:20","1037 μS/cm","1084.46 NTU","9.93 mg/L","7.43","16.02.2024 20:22"
"Muuli VKM","16.02.2024 20:15","1040 μS/cm","1074.88 NTU","9.94 mg/L","7.43","16.02.2024 20:17"
"Muuli VKM","16.02.2024 20:10","1042 μS/cm","1062.67 NTU","9.93 mg/L","7.44","16.02.2024 20:12"
"Muuli VKM","16.02.2024 20:05","1042 μS/cm","1058.43 NTU","9.94 mg/L","7.44","16.02.2024 20:07"
"Muuli VKM","16.02.2024 20:00","1047 μS/cm","1056.45 NTU","9.94 mg/L","7.45","16.02.2024 20:02"
"Muuli VKM","16.02.2024 19:55","1062 μS/cm","1055.11 NTU","9.95 mg/L","7.45","16.02.2024 19:57"
"Muuli VKM","16.02.2024 19:50","1090 μS/cm","1053.54 NTU","9.95 mg/L","7.45","16.02.2024 19:52"
"Muuli VKM","16.02.2024 19:45","1136 μS/cm","1045.43 NTU","9.96 mg/L","7.46","16.02.2024 19:47"
"Muuli VKM","16.02.2024 19:40","1181 μS/cm","1035.19 NTU","9.91 mg/L","7.46","16.02.2024 19:42"
"Muuli VKM","16.02.2024 19:35","1227 μS/cm","1020.9 NTU","9.93 mg/L","7.47","16.02.2024 19:37"
"Muuli VKM","16.02.2024 19:30","1273 μS/cm","999.26 NTU","9.92 mg/L","7.47","16.02.2024 19:32"
"Muuli VKM","16.02.2024 19:25","1320 μS/cm","1003.01 NTU","9.89 mg/L","7.48","16.02.2024 19:27"
"Muuli VKM","16.02.2024 19:20","1367 μS/cm","1042.74 NTU","9.89 mg/L","7.5","16.02.2024 19:22"
"Muuli VKM","16.02.2024 19:15","1415 μS/cm","1798.08 NTU","9.88 mg/L","7.52","16.02.2024 19:17"
"Muuli VKM","16.02.2024 19:10","1458 μS/cm","1733.77 NTU","9.84 mg/L","7.53","16.02.2024 19:12"
"Muuli VKM","16.02.2024 19:05","1492 μS/cm","1503 NTU","9.81 mg/L","7.5","16.02.2024 19:07"
"Muuli VKM","16.02.2024 19:00","1486 μS/cm","1041.39 NTU","9.65 mg/L","7.45","16.02.2024 19:02"
"Muuli VKM","16.02.2024 18:55","1488 μS/cm","1044.71 NTU","9.67 mg/L","7.46","16.02.2024 18:57"
"Muuli VKM","16.02.2024 18:50","1490 μS/cm","1053.31 NTU","9.68 mg/L","7.46","16.02.2024 18:52"
"Muuli VKM","16.02.2024 18:45","1492 μS/cm","1077.74 NTU","9.69 mg/L","7.47","16.02.2024 18:47"
"Muuli VKM","16.02.2024 18:40","1493 μS/cm","1080.04 NTU","9.69 mg/L","7.47","16.02.2024 18:42"
"Muuli VKM","16.02.2024 18:35","1495 μS/cm","1081.42 NTU","9.7 mg/L","7.48","16.02.2024 18:37"
"Muuli VKM","16.02.2024 18:30","1496 μS/cm","1082.76 NTU","9.7 mg/L","7.49","16.02.2024 18:32"
"Muuli VKM","16.02.2024 18:25","1498 μS/cm","1084.36 NTU","9.73 mg/L","7.49","16.02.2024 18:27"
"Muuli VKM","16.02.2024 18:20","1499 μS/cm","1086.47 NTU","9.71 mg/L","7.5","16.02.2024 18:22"
"Muuli VKM","16.02.2024 18:15","1498 μS/cm","1089.69 NTU","9.74 mg/L","7.5","16.02.2024 18:17"
"Muuli VKM","16.02.2024 18:10","1497 μS/cm","1094.66 NTU","9.75 mg/L","7.51","16.02.2024 18:12"
"Muuli VKM","16.02.2024 18:05","1496 μS/cm","1101.83 NTU","9.76 mg/L","7.52","16.02.2024 18:07"
"Muuli VKM","16.02.2024 18:00","1498 μS/cm","1124.18 NTU","9.76 mg/L","7.52","16.02.2024 18:02"
"Muuli VKM","16.02.2024 17:55","1504 μS/cm","1128.56 NTU","9.77 mg/L","7.53","16.02.2024 17:57"
"Muuli VKM","16.02.2024 17:50","1516 μS/cm","1133.14 NTU","9.76 mg/L","7.54","16.02.2024 17:52"
"Muuli VKM","16.02.2024 17:45","1534 μS/cm","1140.16 NTU","9.76 mg/L","7.55","16.02.2024 17:47"
"Muuli VKM","16.02.2024 17:40","1550 μS/cm","1149.48 NTU","9.75 mg/L","7.55","16.02.2024 17:42"
"Muuli VKM","16.02.2024 17:35","1566 μS/cm","1161.09 NTU","9.75 mg/L","7.56","16.02.2024 17:37"
"Muuli VKM","16.02.2024 17:30","1582 μS/cm","1176.34 NTU","9.77 mg/L","7.57","16.02.2024 17:32"
"Muuli VKM","16.02.2024 17:25","1600 μS/cm","1197.73 NTU","9.78 mg/L","7.58","16.02.2024 17:27"
"Muuli VKM","16.02.2024 17:20","1616 μS/cm","1232.07 NTU","9.77 mg/L","7.59","16.02.2024 17:22"
"Muuli VKM","16.02.2024 17:15","1631 μS/cm","1312.2 NTU","9.78 mg/L","7.6","16.02.2024 17:17"
"Muuli VKM","16.02.2024 17:10","1641 μS/cm","933.58 NTU","9.76 mg/L","7.6","16.02.2024 17:12"
"Muuli VKM","16.02.2024 17:05","1647 μS/cm","906.53 NTU","9.73 mg/L","7.56","16.02.2024 17:07"
"Muuli VKM","16.02.2024 17:00","1634 μS/cm","891.49 NTU","9.65 mg/L","7.53","16.02.2024 17:02"
"Muuli VKM","16.02.2024 16:55","1629 μS/cm","896.07 NTU","9.66 mg/L","7.54","16.02.2024 16:57"
"Muuli VKM","16.02.2024 16:50","1623 μS/cm","900.77 NTU","9.68 mg/L","7.54","16.02.2024 16:52"
"Muuli VKM","16.02.2024 16:45","1616 μS/cm","905.99 NTU","9.7 mg/L","7.55","16.02.2024 16:47"
"Muuli VKM","16.02.2024 16:40","1610 μS/cm","911.96 NTU","9.72 mg/L","7.55","16.02.2024 16:42"
"Muuli VKM","16.02.2024 16:35","1602 μS/cm","918.47 NTU","9.73 mg/L","7.56","16.02.2024 16:37"
"Muuli VKM","16.02.2024 16:30","1593 μS/cm","925.9 NTU","9.74 mg/L","7.56","16.02.2024 16:32"
"Muuli VKM","16.02.2024 16:25","1584 μS/cm","933.7 NTU","9.77 mg/L","7.57","16.02.2024 16:27"
"Muuli VKM","16.02.2024 16:20","1574 μS/cm","941.98 NTU","9.77 mg/L","7.57","16.02.2024 16:22"
"Muuli VKM","16.02.2024 16:15","1562 μS/cm","951.21 NTU","9.79 mg/L","7.58","16.02.2024 16:17"
"Muuli VKM","16.02.2024 16:10","1550 μS/cm","961.92 NTU","9.8 mg/L","7.58","16.02.2024 16:12"
"Muuli VKM","16.02.2024 16:05","1535 μS/cm","974.15 NTU","9.82 mg/L","7.59","16.02.2024 16:07"
"Muuli VKM","16.02.2024 16:00","1510 μS/cm","979.79 NTU","9.83 mg/L","7.59","16.02.2024 16:02"
"Muuli VKM","16.02.2024 15:55","1479 μS/cm","985.55 NTU","9.83 mg/L","7.6","16.02.2024 15:57"
"Muuli VKM","16.02.2024 15:50","1439 μS/cm","991.47 NTU","9.87 mg/L","7.61","16.02.2024 15:52"
"Muuli VKM","16.02.2024 15:45","1389 μS/cm","997.68 NTU","9.88 mg/L","7.61","16.02.2024 15:47"
"Muuli VKM","16.02.2024 15:40","1340 μS/cm","1004.09 NTU","9.88 mg/L","7.61","16.02.2024 15:42"
"Muuli VKM","16.02.2024 15:35","1292 μS/cm","1011.4 NTU","9.89 mg/L","7.61","16.02.2024 15:37"
"Muuli VKM","16.02.2024 15:30","1246 μS/cm","1019.91 NTU","9.9 mg/L","7.61","16.02.2024 15:32"
"Muuli VKM","16.02.2024 15:25","1202 μS/cm","1029.69 NTU","9.9 mg/L","7.61","16.02.2024 15:27"
"Muuli VKM","16.02.2024 15:20","1159 μS/cm","1040.78 NTU","9.91 mg/L","7.61","16.02.2024 15:22"
"Muuli VKM","16.02.2024 15:15","1124 μS/cm","1445.62 NTU","9.96 mg/L","7.59","16.02.2024 15:17"
"Muuli VKM","16.02.2024 15:10","1098 μS/cm","792.39 NTU","9.98 mg/L","7.55","16.02.2024 15:12"
"Muuli VKM","16.02.2024 15:05","1076 μS/cm","774.72 NTU","9.94 mg/L","7.53","16.02.2024 15:07"
"Muuli VKM","16.02.2024 15:00","1057 μS/cm","745.18 NTU","9.85 mg/L","7.56","16.02.2024 15:02"
"Muuli VKM","16.02.2024 14:55","1057 μS/cm","746.3 NTU","9.87 mg/L","7.56","16.02.2024 14:57"
"Muuli VKM","16.02.2024 14:50","1057 μS/cm","747.55 NTU","9.88 mg/L","7.57","16.02.2024 14:52"
"Muuli VKM","16.02.2024 14:45","1057 μS/cm","748.52 NTU","9.89 mg/L","7.57","16.02.2024 14:47"
"Muuli VKM","16.02.2024 14:40","1057 μS/cm","749.43 NTU","9.91 mg/L","7.58","16.02.2024 14:42"
"Muuli VKM","16.02.2024 14:35","1057 μS/cm","750.55 NTU","9.89 mg/L","7.58","16.02.2024 14:37"
"Muuli VKM","16.02.2024 14:30","1058 μS/cm","751.91 NTU","9.9 mg/L","7.59","16.02.2024 14:32"
"Muuli VKM","16.02.2024 14:25","1058 μS/cm","753.38 NTU","9.89 mg/L","7.59","16.02.2024 14:27"
"Muuli VKM","16.02.2024 14:20","1058 μS/cm","754.81 NTU","9.92 mg/L","7.6","16.02.2024 14:27"
"Muuli VKM","16.02.2024 14:15","1057 μS/cm","756.75 NTU","9.93 mg/L","7.6","16.02.2024 14:17"
"Muuli VKM","16.02.2024 14:10","1058 μS/cm","758.28 NTU","9.9 mg/L","7.6","16.02.2024 14:12"
"Muuli VKM","16.02.2024 14:05","1057 μS/cm","760.08 NTU","9.93 mg/L","7.61","16.02.2024 14:07"
"Muuli VKM","16.02.2024 14:00","1058 μS/cm","767.88 NTU","9.92 mg/L","7.61","16.02.2024 14:02"
"Muuli VKM","16.02.2024 13:55","1058 μS/cm","786.03 NTU","9.93 mg/L","7.61","16.02.2024 13:57"
"Muuli VKM","16.02.2024 13:50","1060 μS/cm","805.8 NTU","9.95 mg/L","7.61","16.02.2024 13:52"
"Muuli VKM","16.02.2024 13:45","1062 μS/cm","797.55 NTU","9.95 mg/L","7.62","16.02.2024 13:47"
"Muuli VKM","16.02.2024 13:40","1064 μS/cm","788.77 NTU","9.94 mg/L","7.62","16.02.2024 13:42"
"Muuli VKM","16.02.2024 13:35","1066 μS/cm","780.19 NTU","9.93 mg/L","7.62","16.02.2024 13:37"
"Muuli VKM","16.02.2024 13:30","1069 μS/cm","771.37 NTU","9.92 mg/L","7.62","16.02.2024 13:32"
"Muuli VKM","16.02.2024 13:25","1071 μS/cm","762.09 NTU","9.92 mg/L","7.62","16.02.2024 13:27"
"Muuli VKM","16.02.2024 13:20","1073 μS/cm","752.78 NTU","9.91 mg/L","7.61","16.02.2024 13:22"
"Muuli VKM","16.02.2024 13:15","1074 μS/cm","743.08 NTU","9.89 mg/L","7.6","16.02.2024 13:17"
"Muuli VKM","16.02.2024 13:10","1076 μS/cm","727.39 NTU","9.9 mg/L","7.59","16.02.2024 13:12"
"Muuli VKM","16.02.2024 13:05","1077 μS/cm","701.39 NTU","9.84 mg/L","7.57","16.02.2024 13:07"
"Muuli VKM","16.02.2024 13:00","1076 μS/cm","673.74 NTU","9.84 mg/L","7.57","16.02.2024 13:02"
"Muuli VKM","16.02.2024 12:55","1076 μS/cm","673.91 NTU","9.84 mg/L","7.57","16.02.2024 12:57"
"Muuli VKM","16.02.2024 12:50","1076 μS/cm","674.29 NTU","9.83 mg/L","7.58","16.02.2024 12:52"
"Muuli VKM","16.02.2024 12:45","1076 μS/cm","674.45 NTU","9.85 mg/L","7.58","16.02.2024 12:47"
"Muuli VKM","16.02.2024 12:40","1076 μS/cm","674.91 NTU","9.87 mg/L","7.59","16.02.2024 12:42"
"Muuli VKM","16.02.2024 12:35","1076 μS/cm","675.38 NTU","9.84 mg/L","7.59","16.02.2024 12:37"
"Muuli VKM","16.02.2024 12:30","1077 μS/cm","676.18 NTU","9.85 mg/L","7.59","16.02.2024 12:32"
"Muuli VKM","16.02.2024 12:25","1077 μS/cm","677.21 NTU","9.87 mg/L","7.6","16.02.2024 12:27"
"Muuli VKM","16.02.2024 12:20","1077 μS/cm","678.57 NTU","9.86 mg/L","7.6","16.02.2024 12:22"
"Muuli VKM","16.02.2024 12:15","1077 μS/cm","680.31 NTU","9.88 mg/L","7.61","16.02.2024 12:17"
"Muuli VKM","16.02.2024 12:10","1077 μS/cm","682.45 NTU","9.87 mg/L","7.61","16.02.2024 12:12"
"Muuli VKM","16.02.2024 12:05","1077 μS/cm","694.41 NTU","9.87 mg/L","7.61","16.02.2024 12:07"
"Muuli VKM","16.02.2024 12:00","1076 μS/cm","712.13 NTU","9.85 mg/L","7.62","16.02.2024 12:02"
"Muuli VKM","16.02.2024 11:55","1076 μS/cm","717.54 NTU","9.86 mg/L","7.62","16.02.2024 11:57"
"Muuli VKM","16.02.2024 11:50","1075 μS/cm","722.65 NTU","9.87 mg/L","7.62","16.02.2024 11:52"
"Muuli VKM","16.02.2024 11:45","1074 μS/cm","721.43 NTU","9.87 mg/L","7.62","16.02.2024 11:47"
"Muuli VKM","16.02.2024 11:40","1074 μS/cm","720.53 NTU","9.85 mg/L","7.62","16.02.2024 11:42"
"Muuli VKM","16.02.2024 11:35","1073 μS/cm","719.46 NTU","9.83 mg/L","7.62","16.02.2024 11:37"
"Muuli VKM","16.02.2024 11:30","1073 μS/cm","718.07 NTU","9.85 mg/L","7.62","16.02.2024 11:32"
"Muuli VKM","16.02.2024 11:25","1072 μS/cm","716.34 NTU","9.83 mg/L","7.62","16.02.2024 11:27"
"Muuli VKM","16.02.2024 11:20","1071 μS/cm","714.15 NTU","9.85 mg/L","7.62","16.02.2024 11:22"
"Muuli VKM","16.02.2024 11:15","1071 μS/cm","702.21 NTU","9.82 mg/L","7.6","16.02.2024 11:17"
"Muuli VKM","16.02.2024 11:10","1070 μS/cm","684.7 NTU","9.78 mg/L","7.58","16.02.2024 11:12"
"Muuli VKM","16.02.2024 11:05","1070 μS/cm","679.72 NTU","9.75 mg/L","7.56","16.02.2024 11:07"
"Muuli VKM","16.02.2024 11:00","1069 μS/cm","674.76 NTU","9.74 mg/L","7.56","16.02.2024 11:02"
"Muuli VKM","16.02.2024 10:55","1069 μS/cm","676.02 NTU","9.75 mg/L","7.56","16.02.2024 10:57"
"Muuli VKM","16.02.2024 10:50","1069 μS/cm","677.08 NTU","9.74 mg/L","7.57","16.02.2024 10:52"
"Muuli VKM","16.02.2024 10:45","1068 μS/cm","678.07 NTU","9.74 mg/L","7.57","16.02.2024 10:47"
"Muuli VKM","16.02.2024 10:40","1069 μS/cm","679.32 NTU","9.76 mg/L","7.58","16.02.2024 10:42"
"Muuli VKM","16.02.2024 10:35","1068 μS/cm","680.78 NTU","9.78 mg/L","7.58","16.02.2024 10:37"
"Muuli VKM","16.02.2024 10:30","1069 μS/cm","682.42 NTU","9.78 mg/L","7.59","16.02.2024 10:32"
"Muuli VKM","16.02.2024 10:25","1069 μS/cm","684.28 NTU","9.77 mg/L","7.59","16.02.2024 10:27"
"Muuli VKM","16.02.2024 10:20","1069 μS/cm","686.24 NTU","9.78 mg/L","7.59","16.02.2024 10:22"
"Muuli VKM","16.02.2024 10:15","1070 μS/cm","688.62 NTU","9.78 mg/L","7.6","16.02.2024 10:17"
"Muuli VKM","16.02.2024 10:10","1070 μS/cm","691.35 NTU","9.78 mg/L","7.6","16.02.2024 10:12"
"Muuli VKM","16.02.2024 10:05","1071 μS/cm","694.45 NTU","9.79 mg/L","7.6","16.02.2024 10:07"
"Muuli VKM","16.02.2024 10:00","1072 μS/cm","700.23 NTU","9.8 mg/L","7.61","16.02.2024 10:02"
"Muuli VKM","16.02.2024 09:55","1073 μS/cm","723.54 NTU","9.78 mg/L","7.61","16.02.2024 09:57"
"Muuli VKM","16.02.2024 09:50","1076 μS/cm","730.84 NTU","9.79 mg/L","7.61","16.02.2024 09:52"
"Muuli VKM","16.02.2024 09:45","1080 μS/cm","727.41 NTU","9.77 mg/L","7.61","16.02.2024 09:52"
"Muuli VKM","16.02.2024 09:40","1083 μS/cm","724.06 NTU","9.78 mg/L","7.61","16.02.2024 09:47"
"Muuli VKM","16.02.2024 09:35","1087 μS/cm","720.37 NTU","9.74 mg/L","7.61","16.02.2024 09:37"
"Muuli VKM","16.02.2024 09:30","1091 μS/cm","716.53 NTU","9.75 mg/L","7.61","16.02.2024 09:32"
"Muuli VKM","16.02.2024 09:25","1094 μS/cm","712.07 NTU","9.73 mg/L","7.6","16.02.2024 09:27"
"Muuli VKM","16.02.2024 09:20","1097 μS/cm","707.63 NTU","9.72 mg/L","7.6","16.02.2024 09:22"
"Muuli VKM","16.02.2024 09:15","1101 μS/cm","702.94 NTU","9.72 mg/L","7.58","16.02.2024 09:17"
"Muuli VKM","16.02.2024 09:10","1105 μS/cm","695.55 NTU","9.69 mg/L","7.56","16.02.2024 09:12"
"Muuli VKM","16.02.2024 09:05","1108 μS/cm","670.92 NTU","9.64 mg/L","7.54","16.02.2024 09:07"
"Muuli VKM","16.02.2024 09:00","1102 μS/cm","662.07 NTU","9.57 mg/L","7.53","16.02.2024 09:02"
"Muuli VKM","16.02.2024 08:55","1103 μS/cm","663.86 NTU","9.59 mg/L","7.54","16.02.2024 08:57"
"Muuli VKM","16.02.2024 08:50","1103 μS/cm","665.66 NTU","9.58 mg/L","7.54","16.02.2024 08:52"
"Muuli VKM","16.02.2024 08:45","1103 μS/cm","667.61 NTU","9.58 mg/L","7.55","16.02.2024 08:47"
"Muuli VKM","16.02.2024 08:40","1103 μS/cm","669.51 NTU","9.62 mg/L","7.55","16.02.2024 08:42"
"Muuli VKM","16.02.2024 08:35","1104 μS/cm","671.53 NTU","9.6 mg/L","7.56","16.02.2024 08:37"
"Muuli VKM","16.02.2024 08:30","1104 μS/cm","673.46 NTU","9.6 mg/L","7.56","16.02.2024 08:37"
"Muuli VKM","16.02.2024 08:25","1104 μS/cm","675.37 NTU","9.6 mg/L","7.56","16.02.2024 08:27"
"Muuli VKM","16.02.2024 08:20","1104 μS/cm","677.07 NTU","9.6 mg/L","7.57","16.02.2024 08:22"
"Muuli VKM","16.02.2024 08:15","1105 μS/cm","678.81 NTU","9.6 mg/L","7.57","16.02.2024 08:17"
"Muuli VKM","16.02.2024 08:10","1106 μS/cm","680.55 NTU","9.6 mg/L","7.58","16.02.2024 08:12"
"Muuli VKM","16.02.2024 08:05","1106 μS/cm","682.44 NTU","9.63 mg/L","7.58","16.02.2024 08:07"
"Muuli VKM","16.02.2024 08:00","1106 μS/cm","702.82 NTU","9.63 mg/L","7.58","16.02.2024 08:02"
"Muuli VKM","16.02.2024 07:55","1108 μS/cm","707.54 NTU","9.62 mg/L","7.59","16.02.2024 07:57"
"Muuli VKM","16.02.2024 07:50","1112 μS/cm","751.45 NTU","9.63 mg/L","7.59","16.02.2024 07:52"
"Muuli VKM","16.02.2024 07:45","1118 μS/cm","749.19 NTU","9.59 mg/L","7.59","16.02.2024 07:47"
"Muuli VKM","16.02.2024 07:40","1124 μS/cm","746.88 NTU","9.59 mg/L","7.59","16.02.2024 07:42"
"Muuli VKM","16.02.2024 07:35","1131 μS/cm","744.52 NTU","9.61 mg/L","7.59","16.02.2024 07:37"
"Muuli VKM","16.02.2024 07:30","1136 μS/cm","742.22 NTU","9.6 mg/L","7.59","16.02.2024 07:32"
"Muuli VKM","16.02.2024 07:25","1143 μS/cm","739.72 NTU","9.59 mg/L","7.59","16.02.2024 07:27"
"Muuli VKM","16.02.2024 07:20","1148 μS/cm","737.2 NTU","9.58 mg/L","7.58","16.02.2024 07:22"
"Muuli VKM","16.02.2024 07:15","1155 μS/cm","734.48 NTU","9.55 mg/L","7.57","16.02.2024 07:17"
"Muuli VKM","16.02.2024 07:10","1161 μS/cm","713.1 NTU","9.53 mg/L","7.55","16.02.2024 07:12"
"Muuli VKM","16.02.2024 07:05","1166 μS/cm","707.33 NTU","9.5 mg/L","7.52","16.02.2024 07:07"
"Muuli VKM","16.02.2024 07:00","1161 μS/cm","662.35 NTU","9.43 mg/L","7.51","16.02.2024 07:02"
"Muuli VKM","16.02.2024 06:55","1161 μS/cm","663.48 NTU","9.47 mg/L","7.52","16.02.2024 07:02"
"Muuli VKM","16.02.2024 06:50","1161 μS/cm","664.75 NTU","9.47 mg/L","7.52","16.02.2024 06:52"
"Muuli VKM","16.02.2024 06:45","1162 μS/cm","666.17 NTU","9.49 mg/L","7.53","16.02.2024 06:47"
"Muuli VKM","16.02.2024 06:40","1162 μS/cm","667.62 NTU","9.45 mg/L","7.53","16.02.2024 06:42"
"Muuli VKM","16.02.2024 06:35","1162 μS/cm","669.45 NTU","9.46 mg/L","7.54","16.02.2024 06:37"
"Muuli VKM","16.02.2024 06:30","1163 μS/cm","671.57 NTU","9.47 mg/L","7.54","16.02.2024 06:32"
"Muuli VKM","16.02.2024 06:25","1163 μS/cm","673.91 NTU","9.46 mg/L","7.54","16.02.2024 06:27"
"Muuli VKM","16.02.2024 06:20","1163 μS/cm","676.51 NTU","9.46 mg/L","7.55","16.02.2024 06:22"
"Muuli VKM","16.02.2024 06:15","1163 μS/cm","679.26 NTU","9.46 mg/L","7.55","16.02.2024 06:17"
"Muuli VKM","16.02.2024 06:10","1163 μS/cm","682.36 NTU","9.47 mg/L","7.56","16.02.2024 06:12"
"Muuli VKM","16.02.2024 06:05","1163 μS/cm","686.14 NTU","9.48 mg/L","7.56","16.02.2024 06:07"
"Muuli VKM","16.02.2024 06:00","1164 μS/cm","699.92 NTU","9.49 mg/L","7.57","16.02.2024 06:02"
"Muuli VKM","16.02.2024 05:55","1166 μS/cm","723.45 NTU","9.49 mg/L","7.57","16.02.2024 05:57"
"Muuli VKM","16.02.2024 05:50","1169 μS/cm","745.86 NTU","9.45 mg/L","7.57","16.02.2024 05:52"
"Muuli VKM","16.02.2024 05:45","1173 μS/cm","741.44 NTU","9.48 mg/L","7.57","16.02.2024 05:47"
"Muuli VKM","16.02.2024 05:40","1178 μS/cm","736.56 NTU","9.48 mg/L","7.57","16.02.2024 05:42"
"Muuli VKM","16.02.2024 05:35","1183 μS/cm","731.26 NTU","9.46 mg/L","7.57","16.02.2024 05:37"
"Muuli VKM","16.02.2024 05:30","1188 μS/cm","725.68 NTU","9.45 mg/L","7.57","16.02.2024 05:32"
"Muuli VKM","16.02.2024 05:25","1193 μS/cm","719.97 NTU","9.43 mg/L","7.57","16.02.2024 05:27"
"Muuli VKM","16.02.2024 05:20","1198 μS/cm","713.88 NTU","9.43 mg/L","7.56","16.02.2024 05:22"
"Muuli VKM","16.02.2024 05:15","1203 μS/cm","706.99 NTU","9.39 mg/L","7.54","16.02.2024 05:17"
"Muuli VKM","16.02.2024 05:10","1207 μS/cm","690 NTU","9.37 mg/L","7.52","16.02.2024 05:12"
"Muuli VKM","16.02.2024 05:05","1210 μS/cm","663.32 NTU","9.36 mg/L","7.49","16.02.2024 05:07"
"Muuli VKM","16.02.2024 05:00","1205 μS/cm","637.82 NTU","9.28 mg/L","7.49","16.02.2024 05:02"
"Muuli VKM","16.02.2024 04:55","1205 μS/cm","638.89 NTU","9.31 mg/L","7.49","16.02.2024 04:57"
"Muuli VKM","16.02.2024 04:50","1206 μS/cm","640.22 NTU","9.31 mg/L","7.5","16.02.2024 04:52"
"Muuli VKM","16.02.2024 04:45","1206 μS/cm","641.78 NTU","9.3 mg/L","7.5","16.02.2024 04:47"
"Muuli VKM","16.02.2024 04:40","1206 μS/cm","643.67 NTU","9.3 mg/L","7.5","16.02.2024 04:42"
"Muuli VKM","16.02.2024 04:35","1207 μS/cm","645.61 NTU","9.31 mg/L","7.51","16.02.2024 04:37"
"Muuli VKM","16.02.2024 04:30","1207 μS/cm","647.69 NTU","9.32 mg/L","7.51","16.02.2024 04:32"
"Muuli VKM","16.02.2024 04:25","1207 μS/cm","649.96 NTU","9.31 mg/L","7.52","16.02.2024 04:27"
"Muuli VKM","16.02.2024 04:20","1208 μS/cm","652.26 NTU","9.3 mg/L","7.52","16.02.2024 04:22"
