"Seade","Mõõtmise aeg","elektrijuhtivus","hägusus","hapnik","pH","Laekumise aeg"
"Muuli VKM","29.02.2024 19:45","848 μS/cm","20.71 NTU","11.4 mg/L","7.58","29.02.2024 19:47"
"Muuli VKM","29.02.2024 19:40","849 μS/cm","21.87 NTU","11.42 mg/L","7.58","29.02.2024 19:42"
"Muuli VKM","29.02.2024 19:35","849 μS/cm","23.56 NTU","11.39 mg/L","7.58","29.02.2024 19:37"
"Muuli VKM","29.02.2024 19:30","849 μS/cm","26.4 NTU","11.43 mg/L","7.58","29.02.2024 19:32"
"Muuli VKM","29.02.2024 19:25","849 μS/cm","31.82 NTU","11.44 mg/L","7.58","29.02.2024 19:27"
"Muuli VKM","29.02.2024 19:20","849 μS/cm","46.74 NTU","11.46 mg/L","7.58","29.02.2024 19:22"
"Muuli VKM","29.02.2024 19:15","850 μS/cm","399.05 NTU","11.48 mg/L","7.58","29.02.2024 19:22"
"Muuli VKM","29.02.2024 19:10","850 μS/cm","418.02 NTU","11.49 mg/L","7.58","29.02.2024 19:12"
"Muuli VKM","29.02.2024 19:05","851 μS/cm","401.86 NTU","11.49 mg/L","7.58","29.02.2024 19:07"
"Muuli VKM","29.02.2024 19:00","847 μS/cm","406.9 NTU","11.45 mg/L","7.55","29.02.2024 19:02"
"Muuli VKM","29.02.2024 18:55","848 μS/cm","427.3 NTU","11.44 mg/L","7.55","29.02.2024 18:57"
"Muuli VKM","29.02.2024 18:50","847 μS/cm","450.95 NTU","11.45 mg/L","7.56","29.02.2024 18:52"
"Muuli VKM","29.02.2024 18:45","847 μS/cm","475.43 NTU","11.45 mg/L","7.56","29.02.2024 18:47"
"Muuli VKM","29.02.2024 18:40","848 μS/cm","499.89 NTU","11.45 mg/L","7.56","29.02.2024 18:42"
"Muuli VKM","29.02.2024 18:35","847 μS/cm","523.71 NTU","11.42 mg/L","7.56","29.02.2024 18:37"
"Muuli VKM","29.02.2024 18:30","848 μS/cm","546.82 NTU","11.42 mg/L","7.56","29.02.2024 18:32"
"Muuli VKM","29.02.2024 18:25","847 μS/cm","568.9 NTU","11.47 mg/L","7.56","29.02.2024 18:27"
"Muuli VKM","29.02.2024 18:20","847 μS/cm","590.09 NTU","11.44 mg/L","7.56","29.02.2024 18:22"
"Muuli VKM","29.02.2024 18:15","846 μS/cm","610.83 NTU","11.45 mg/L","7.57","29.02.2024 18:17"
"Muuli VKM","29.02.2024 18:10","846 μS/cm","630.83 NTU","11.46 mg/L","7.57","29.02.2024 18:12"
"Muuli VKM","29.02.2024 18:05","846 μS/cm","630.56 NTU","11.44 mg/L","7.57","29.02.2024 18:07"
"Muuli VKM","29.02.2024 18:00","846 μS/cm","607.58 NTU","11.47 mg/L","7.57","29.02.2024 18:02"
"Muuli VKM","29.02.2024 17:55","846 μS/cm","564.25 NTU","11.47 mg/L","7.58","29.02.2024 17:57"
"Muuli VKM","29.02.2024 17:50","846 μS/cm","549.94 NTU","11.44 mg/L","7.58","29.02.2024 17:52"
"Muuli VKM","29.02.2024 17:45","846 μS/cm","538.85 NTU","11.47 mg/L","7.58","29.02.2024 17:47"
"Muuli VKM","29.02.2024 17:40","847 μS/cm","528.39 NTU","11.46 mg/L","7.58","29.02.2024 17:42"
"Muuli VKM","29.02.2024 17:35","847 μS/cm","518.51 NTU","11.44 mg/L","7.58","29.02.2024 17:37"
"Muuli VKM","29.02.2024 17:30","848 μS/cm","509.34 NTU","11.46 mg/L","7.58","29.02.2024 17:32"
"Muuli VKM","29.02.2024 17:25","849 μS/cm","500.78 NTU","11.48 mg/L","7.58","29.02.2024 17:27"
"Muuli VKM","29.02.2024 17:20","849 μS/cm","492.5 NTU","11.47 mg/L","7.58","29.02.2024 17:22"
"Muuli VKM","29.02.2024 17:15","850 μS/cm","484.52 NTU","11.53 mg/L","7.59","29.02.2024 17:17"
"Muuli VKM","29.02.2024 17:10","851 μS/cm","495.97 NTU","11.52 mg/L","7.59","29.02.2024 17:12"
"Muuli VKM","29.02.2024 17:05","852 μS/cm","526.57 NTU","11.59 mg/L","7.59","29.02.2024 17:07"
