"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","30.11.2023 18:25","0.04 m","90.48 m³/h","","30.11.2023 18:27"
"Muuli tee","30.11.2023 18:20","0.04 m","94.05 m³/h","","30.11.2023 18:22"
"Muuli tee","30.11.2023 18:15","0.04 m","83.2 m³/h","","30.11.2023 18:17"
"Muuli tee","30.11.2023 18:10","0.04 m","94.05 m³/h","","30.11.2023 18:12"
"Muuli tee","30.11.2023 18:05","0.04 m","92.68 m³/h","","30.11.2023 18:07"
"Muuli tee","30.11.2023 18:00","0.04 m","89.24 m³/h","","30.11.2023 18:02"
"Muuli tee","30.11.2023 17:55","0.04 m","96.52 m³/h","","30.11.2023 17:57"
"Muuli tee","30.11.2023 17:50","0.04 m","91.44 m³/h","","30.11.2023 17:52"
"Muuli tee","30.11.2023 17:45","0.04 m","92.68 m³/h","","30.11.2023 17:47"
"Muuli tee","30.11.2023 17:40","0.04 m","92.68 m³/h","","30.11.2023 17:42"
"Muuli tee","30.11.2023 17:35","0.04 m","93.91 m³/h","","30.11.2023 17:37"
"Muuli tee","30.11.2023 17:30","0.04 m","95.01 m³/h","","30.11.2023 17:32"
"Muuli tee","30.11.2023 17:25","0.04 m","91.44 m³/h","","30.11.2023 17:27"
"Muuli tee","30.11.2023 17:20","0.04 m","92.95 m³/h","","30.11.2023 17:22"
"Muuli tee","30.11.2023 17:15","0.04 m","92.95 m³/h","","30.11.2023 17:17"
"Muuli tee","30.11.2023 17:10","0.04 m","91.44 m³/h","","30.11.2023 17:12"
"Muuli tee","30.11.2023 17:05","0.04 m","91.58 m³/h","","30.11.2023 17:07"
"Muuli tee","30.11.2023 17:00","0.04 m","83.2 m³/h","","30.11.2023 17:02"
"Muuli tee","30.11.2023 16:55","0.04 m","94.05 m³/h","","30.11.2023 16:57"
"Muuli tee","30.11.2023 16:50","0.04 m","92.68 m³/h","","30.11.2023 16:52"
"Muuli tee","30.11.2023 16:45","0.04 m","89.38 m³/h","","30.11.2023 16:47"
"Muuli tee","30.11.2023 16:40","0.04 m","92.68 m³/h","","30.11.2023 16:42"
"Muuli tee","30.11.2023 16:35","0.04 m","91.44 m³/h","","30.11.2023 16:37"
"Muuli tee","30.11.2023 16:30","0.04 m","92.95 m³/h","","30.11.2023 16:32"
